,gameid,league,year,split,playoffs,date,patch,participantid,side,position,playername,playerid,teamname,gamelength,result,totalgold,ELO,opp_participantid,opp_side,opp_position,opp_playername,opp_playerid,opp_teamname,opp_result,opp_totalgold,opp_ELO,golddiff
0,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,1,Blue,top,neny,oe:player:7a8be380f1f059a62c13e9969628588,Invictus Gaming,1988,0,11170.321931589537,1000,6,Red,top,Bin,oe:player:fb66ef5885b4be9323905b821dc3a42,Suning,1,12499.496981891347,1000,-1329.1750503018102
1,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,2,Blue,jng,XUN,oe:player:814f33b3479f1ebf6cd22cba78f30e0,Invictus Gaming,1988,0,11862.977867203219,1000,7,Red,jng,SofM,oe:player:a408b9f6a7b5f82bfac03a88e026986,Suning,1,11241.851106639839,1000,621.1267605633802
2,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,3,Blue,mid,Rookie,oe:player:1213778b5c6d69dcb26aa89f7d0aaa9,Invictus Gaming,1988,0,11631.187122736419,1000,8,Red,mid,Angel,oe:player:542b1268b090a5fc82442efbd8d8165,Suning,1,12951.307847082495,1000,-1320.1207243460758
3,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,4,Blue,bot,Wink,oe:player:39d7885ab4602a7f8d202883d253f5e,Invictus Gaming,1988,0,12625.352112676057,1000,9,Red,bot,huanfeng,oe:player:6d664d1402cd16be08e335feacf73b0,Suning,1,14151.006036217303,1000,-1525.6539235412456
4,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,5,Blue,sup,XinLiu,oe:player:10fd0a3dc5a68b102a157eb6b0fd4ed,Invictus Gaming,1988,0,6561.670020120725,1000,10,Red,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Suning,1,6797.987927565392,1000,-236.31790744466707
5,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,6,Red,top,Bin,oe:player:fb66ef5885b4be9323905b821dc3a42,Suning,1988,1,12499.496981891347,1000,1,Blue,top,neny,oe:player:7a8be380f1f059a62c13e9969628588,Invictus Gaming,0,11170.321931589537,1000,1329.1750503018102
6,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,7,Red,jng,SofM,oe:player:a408b9f6a7b5f82bfac03a88e026986,Suning,1988,1,11241.851106639839,1000,2,Blue,jng,XUN,oe:player:814f33b3479f1ebf6cd22cba78f30e0,Invictus Gaming,0,11862.977867203219,1000,-621.1267605633802
7,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,8,Red,mid,Angel,oe:player:542b1268b090a5fc82442efbd8d8165,Suning,1988,1,12951.307847082495,1000,3,Blue,mid,Rookie,oe:player:1213778b5c6d69dcb26aa89f7d0aaa9,Invictus Gaming,0,11631.187122736419,1000,1320.1207243460758
8,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,9,Red,bot,huanfeng,oe:player:6d664d1402cd16be08e335feacf73b0,Suning,1988,1,14151.006036217303,1000,4,Blue,bot,Wink,oe:player:39d7885ab4602a7f8d202883d253f5e,Invictus Gaming,0,12625.352112676057,1000,1525.6539235412456
9,7605-10305,LPL,2021,Summer,0,2021-06-07 09:19:26,11.11,10,Red,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Suning,1988,1,6797.987927565392,1000,5,Blue,sup,XinLiu,oe:player:10fd0a3dc5a68b102a157eb6b0fd4ed,Invictus Gaming,0,6561.670020120725,1000,236.31790744466707
10,7605-10306,LPL,2021,Summer,0,2021-06-07 10:17:09,11.11,1,Blue,top,Bin,oe:player:fb66ef5885b4be9323905b821dc3a42,Suning,1786,0,11663.717805151176,1000,6,Red,top,neny,oe:player:7a8be380f1f059a62c13e9969628588,Invictus Gaming,1,11862.262038073908,1000,-198.54423292273168
11,7605-10306,LPL,2021,Summer,0,2021-06-07 10:17:09,11.11,2,Blue,jng,SofM,oe:player:a408b9f6a7b5f82bfac03a88e026986,Suning,1786,0,8848.8241881299,1000,7,Red,jng,XUN,oe:player:814f33b3479f1ebf6cd22cba78f30e0,Invictus Gaming,1,10903.807390817468,1000,-2054.9832026875683
